Net: Toplevel network.,Parameter Value,Distance,Acer Swift 3,ASUS ROG Zephyrus G14,Dell XPS 15,Lenovo ThinkPad P16,"MacBook Pro 16""",Microsoft Surface Laptop Studio,p0 of Acer Swift 3,p0 of ASUS ROG Zephyrus G14,p0 of Dell XPS 15,p0 of Lenovo ThinkPad P16,"p0 of MacBook Pro 16""",p0 of Microsoft Surface Laptop Studio,Ranking Acer Swift 3,Ranking ASUS ROG Zephyrus G14,Ranking Dell XPS 15,Ranking Lenovo ThinkPad P16,"Ranking MacBook Pro 16""",Ranking Microsoft Surface Laptop Studio,Dist: Taxi Cab,Dist: Avg % difference with known,Dist: Avg % difference without known,Dist: Max of differences,Dist: Max of % differences with known,Dist: Max of % differences without known,Dist: Max % change,Dist: Average % change,Dist: Rank distance 1
Performance Capabilities:upper,0.900000,0.527761,0.060287,0.180525,0.144661,0.356094,0.137049,0.121384,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,2.000000,3.000000,1.000000,4.000000,5.000000,0.246023,0.236168,0.250597,0.123012,0.527761,0.626081,0.911381,0.326565,4.000000
Portability Factors:upper,0.900000,0.654377,0.175367,0.136983,0.139794,0.080559,0.283079,0.184219,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,3.000000,5.000000,4.000000,6.000000,1.000000,2.000000,0.403205,0.381741,0.395679,0.152523,0.654377,0.972600,1.893323,0.601516,16.000000
Graphics Processing (GPU):upper,0.900000,0.168051,0.107487,0.211546,0.139958,0.237615,0.161275,0.142119,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,2.000000,5.000000,1.000000,3.000000,4.000000,0.069938,0.069997,0.069188,0.030436,0.168051,0.155025,0.168051,0.072903,0.000000
Memory (RAM):upper,0.900000,0.162899,0.126413,0.151608,0.151441,0.216814,0.190415,0.163309,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,4.000000,5.000000,1.000000,2.000000,3.000000,0.091542,0.091810,0.092440,0.029503,0.162899,0.177344,0.194599,0.097966,4.000000
Processor (CPU):upper,0.900000,0.139758,0.113408,0.155799,0.143149,0.244944,0.191401,0.151300,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,3.000000,5.000000,1.000000,2.000000,4.000000,0.057462,0.052750,0.053832,0.025312,0.139758,0.150258,0.162464,0.056597,2.000000
Storage:upper,0.900000,0.176011,0.127904,0.179922,0.154421,0.222774,0.193396,0.121583,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,5.000000,3.000000,4.000000,1.000000,2.000000,6.000000,0.074934,0.081404,0.082514,0.025971,0.176011,0.192996,0.213609,0.088018,6.000000
Battery Life:upper,0.900000,0.105581,0.103065,0.176110,0.146133,0.233545,0.189157,0.151990,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,3.000000,5.000000,1.000000,2.000000,4.000000,0.034333,0.039309,0.039971,0.012166,0.105581,0.111466,0.118045,0.041517,2.000000
Weight & Form Factor:upper,0.900000,0.211163,0.139564,0.191111,0.141968,0.232157,0.156519,0.138681,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,5.000000,2.000000,4.000000,1.000000,3.000000,6.000000,0.068666,0.078619,0.076676,0.024333,0.211163,0.190997,0.211163,0.082153,4.000000
Port Selection:lower,0.100000,0.023452,0.116629,0.184571,0.143945,0.229352,0.174489,0.151014,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,2.000000,5.000000,1.000000,3.000000,4.000000,0.016637,0.016245,0.016219,0.003789,0.023452,0.023180,0.023452,0.016370,0.000000
Wireless Capabilities:lower,0.100000,0.011726,0.114532,0.179380,0.145145,0.234947,0.180172,0.145824,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,3.000000,5.000000,1.000000,2.000000,4.000000,0.008319,0.008122,0.008129,0.001894,0.011726,0.011795,0.011865,0.008167,2.000000
Purchase Price:lower,0.100000,0.114298,0.102061,0.186654,0.147414,0.234226,0.179422,0.150223,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,2.000000,5.000000,1.000000,3.000000,4.000000,0.026341,0.032127,0.033145,0.013171,0.114298,0.121225,0.129047,0.034586,0.000000
Value for Money:lower,0.100000,0.342893,0.154743,0.164478,0.136738,0.229649,0.174845,0.139547,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,4.000000,3.000000,6.000000,1.000000,2.000000,5.000000,0.079024,0.096382,0.089319,0.039512,0.342893,0.292709,0.342893,0.099089,6.000000
Color Accuracy:lower,0.100000,0.015331,0.114982,0.181779,0.146057,0.235851,0.175545,0.145786,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,2.000000,4.000000,1.000000,3.000000,5.000000,0.009500,0.009019,0.009031,0.002769,0.015331,0.015449,0.015569,0.009084,2.000000
Resolution & Size:lower,0.100000,0.030661,0.115730,0.179772,0.142120,0.227544,0.183744,0.151089,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,3.000000,5.000000,1.000000,2.000000,4.000000,0.019000,0.018038,0.017991,0.005538,0.030661,0.030198,0.030661,0.018199,2.000000
Select Best Laptop for DS & AI Student:lower,0.100000,0.000000,0.115231,0.181110,0.144745,0.233082,0.178278,0.147554,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,2.000000,5.000000,1.000000,3.000000,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Acer Swift 3:lower,0.100000,0.800000,0.023046,0.207718,0.162018,0.247717,0.194274,0.165228,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,2.000000,5.000000,1.000000,3.000000,4.000000,0.184370,0.223090,0.307095,0.092185,0.800000,1.333333,4.000000,0.756423,0.000000
