Net: Toplevel network.,Parameter Value,Score,Raw Score,Acer Swift 3,ASUS ROG Zephyrus G14,Dell XPS 15,Lenovo ThinkPad P16,"MacBook Pro 16""",Microsoft Surface Laptop Studio,p0 of Acer Swift 3,p0 of ASUS ROG Zephyrus G14,p0 of Dell XPS 15,p0 of Lenovo ThinkPad P16,"p0 of MacBook Pro 16""",p0 of Microsoft Surface Laptop Studio,Ranking Acer Swift 3,Ranking ASUS ROG Zephyrus G14,Ranking Dell XPS 15,Ranking Lenovo ThinkPad P16,"Ranking MacBook Pro 16""",Ranking Microsoft Surface Laptop Studio,Dist: Taxi Cab,Dist: Avg % difference with known,Dist: Avg % difference without known,Dist: Max of differences,Dist: Max of % differences with known,Dist: Max of % differences without known,Dist: Max % change,Dist: Average % change,Dist: Rank distance 1
Performance Capabilities:upper,0.543114,0.912012,0.912012,0.109309,0.181047,0.144736,0.246341,0.173834,0.144733,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,6.000000,3.000000,5.000000,2.000000,4.000000,0.935709,0.188936,0.355619,0.912012,1.000000,2.000000,1.000000,0.189506,10.000000
Portability Factors:upper,0.507608,0.984473,0.984473,0.116375,0.180271,0.144650,0.230181,0.180271,0.148251,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,6.000000,4.000000,5.000000,2.000000,3.000000,0.991445,0.173140,0.339803,0.984473,1.000000,2.000000,1.000000,0.173170,10.000000
Graphics Processing (GPU):upper,0.990000,0.000000,0.000000,0.105744,0.218394,0.138881,0.238635,0.157449,0.140896,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,5.000000,2.000000,4.000000,1.000000,3.000000,0.079016,0.244893,0.243581,0.037284,1.000000,1.000000,0.205862,0.082319,0.000000
Memory (RAM):upper,0.527218,0.944453,0.944453,0.115992,0.179103,0.145200,0.231975,0.179104,0.148626,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,6.000000,4.000000,5.000000,2.000000,3.000000,0.949610,0.171703,0.338376,0.944453,1.000000,2.000000,1.000000,0.171727,10.000000
Processor (CPU):upper,0.529477,0.939844,0.939844,0.115097,0.179245,0.144627,0.233956,0.179245,0.147830,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,6.000000,4.000000,5.000000,2.000000,3.000000,0.943802,0.170242,0.336914,0.939844,1.000000,2.000000,1.000000,0.170260,10.000000
Storage:upper,0.531544,0.935625,0.935625,0.116231,0.181017,0.145508,0.232269,0.179470,0.145506,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,6.000000,3.000000,5.000000,2.000000,4.000000,0.939486,0.170773,0.337428,0.935625,1.000000,2.000000,1.000000,0.170775,10.000000
Battery Life:upper,0.571356,0.854375,0.854375,0.113061,0.180218,0.144992,0.233165,0.180219,0.148345,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,6.000000,4.000000,5.000000,2.000000,3.000000,0.859708,0.172785,0.339474,0.854375,1.000000,2.000000,1.000000,0.172849,10.000000
Weight & Form Factor:upper,0.684382,0.623711,0.623711,0.126447,0.185720,0.143465,0.232656,0.168248,0.143464,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,6.000000,3.000000,5.000000,2.000000,4.000000,0.651273,0.198287,0.364425,0.623711,1.000000,2.000000,1.000000,0.198859,10.000000
Port Selection:lower,0.000000,0.000000,-0.000000,0.079640,0.135441,0.125018,0.272767,0.260082,0.127052,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,5.000000,3.000000,4.000000,1.000000,2.000000,0.222476,0.387739,0.388368,0.081804,1.000000,1.000000,0.458857,0.261833,2.000000
Wireless Capabilities:lower,0.187188,0.720724,0.374375,0.114685,0.179757,0.145057,0.234541,0.179759,0.146201,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,6.000000,4.000000,5.000000,2.000000,3.000000,0.379527,0.171490,0.338154,0.374375,1.000000,2.000000,1.000000,0.171503,10.000000
Purchase Price:lower,0.000000,0.000000,-0.000000,0.350209,0.196698,0.124562,0.108484,0.094783,0.125264,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,1.000000,2.000000,3.000000,4.000000,5.000000,0.478842,0.711267,0.597205,0.234978,2.039187,1.009702,2.039187,0.719457,10.000000
Value for Money:lower,0.414131,0.939123,0.828262,0.123713,0.177540,0.143026,0.232345,0.177541,0.145835,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,6.000000,4.000000,5.000000,2.000000,3.000000,0.843507,0.185416,0.351694,0.828262,1.000000,2.000000,1.000000,0.185510,10.000000
Color Accuracy:lower,0.135059,0.646424,0.270117,0.115004,0.181720,0.145942,0.235608,0.175784,0.145941,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,6.000000,3.000000,5.000000,2.000000,4.000000,0.277172,0.173073,0.339740,0.270117,1.000000,2.000000,1.000000,0.173107,10.000000
Resolution & Size:lower,0.333486,0.873714,0.666973,0.115439,0.180553,0.143652,0.230777,0.180554,0.149026,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,6.000000,4.000000,5.000000,2.000000,3.000000,0.673410,0.172513,0.339180,0.666973,1.000000,2.000000,1.000000,0.172541,10.000000
Select Best Laptop for DS & AI Student:lower,0.000000,0.000000,-0.000000,0.115231,0.181110,0.144745,0.233082,0.178278,0.147554,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,5.000000,2.000000,4.000000,1.000000,3.000000,0.000000,0.166667,0.166667,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000
Acer Swift 3:lower,0.000000,0.000000,-0.000000,0.000000,0.214370,0.166336,0.251375,0.198273,0.169646,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,6.000000,5.000000,2.000000,4.000000,1.000000,3.000000,0.208370,0.420575,0.581456,0.115231,1.000000,2.000000,1.000000,0.253908,0.000000
ASUS ROG Zephyrus G14:lower,0.493281,0.995501,0.986563,0.115658,0.178677,0.145212,0.233776,0.178678,0.148000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,1.000000,6.000000,4.000000,5.000000,2.000000,3.000000,0.990984,0.170932,0.337610,0.986563,1.000000,2.000000,1.000000,0.170962,10.000000
